"story_description","story_businessid","story_notes","story_owner","story_size_value","story_title","priority","story_size_unit","story_type","story_completion_criteria","story_external_url","story_team","story_comments","task_category","remaining_hours","estimated_hours","task_description","task_id","task_status","task_owner","task_members","task_external_url","task_comments"
"","B01","","","36.0","Core Demo","1.0","hr.","Spike","","","VEL","","Design","4","4","Techi. Ayalysis Draft","01","ToDo","","","",""
"","B01","","","36.0","Core Demo","1.0","hr.","Spike","","","VEL","","Design","6","6","Core Demo (1)","02","ToDo","","","",""
"","B01","","","36.0","Core Demo","1.0","hr.","Spike","","","VEL","","Design","6","6","Core Demo (2)","03","ToDo","","","",""
"","B01","","","36.0","Core Demo","1.0","hr.","Spike","","","VEL","","Design","4","4","Core Demo (3)","04","ToDo","","","",""
"","B01","","","36.0","Core Demo","1.0","hr.","Spike","","","VEL","","Design","4","4","Core Demo (4)","05","ToDo","","","",""
"","B01","","","36.0","Core Demo","1.0","hr.","Spike","","","VEL","","Design","4","4","Design (1)","06","ToDo","","","",""
"","B01","","","36.0","Core Demo","1.0","hr.","Spike","","","VEL","","Design","4","4","Design (2)","07","ToDo","","","",""
"","B01","","","36.0","Core Demo","1.0","hr.","Spike","","","VEL","","Design","2","2","Design (3)","08","ToDo","","","",""
"","B01","","","36.0","Core Demo","1.0","hr.","Spike","","","VEL","","Design","2","2","Design (4)","","ToDo","","","",""
"","B02","","","10.0","Req. Refinement","2.0","hr.","Story","","","VEL","","Analysis","4","4","Req. Refinement (1)","01","ToDo","","","",""
"","B02","","","10.0","Req. Refinement","2.0","hr.","Story","","","VEL","","Analysis","4","4","Req. Refinement (2)","02","ToDo","","","",""
"","B02","","","10.0","Req. Refinement","2.0","hr.","Story","","","VEL","","Analysis","2","2","Product Backlog Refinement","","ToDo","","","",""
"","B03","","","8.0","Sprint Planning","3.0","hr.","Story","","","VEL","","Analysis","5","5","Req. Breakdown (1)","01","ToDo","","","",""
"","B03","","","8.0","Sprint Planning","3.0","hr.","Story","","","VEL","","Management","1","1","Sprint plan init","03","ToDo","","","",""
"","B03","","","8.0","Sprint Planning","3.0","hr.","Story","","","VEL","","Analysis","2","2","Req. Breakdown(2)","02","ToDo","","","",""
